name,latitude,longitude,address
Agro Edu Wisata Kebun Bang Jani,-7.0572098718292,112.77708185397,"Kamp. Du'ur, Desa, Granggurar, Langkap, Kec. Burneh, Kabupaten Bangkalan, Jawa Timur 69121 Bangkalan"
Pantai Rindu,-7.1587656136539,112.77664601534,"Jl. Raya Sukolilo, Polasari, Sukolilo Barat., Kec. Labang, Kabupaten Bangkalan, Jawa Timur 69163 Bangkalan"
Dermaga Rindu,-7.1604397142576,112.77252187671,"Kesek, Kec. Labang, Kabupaten Bangkalan, Jawa Timur 69163 Bangkalan"
Pandela (Pantai Desa Lajing),-6.9723821402239,112.79397372329,"Pocogan, Lajing, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69515 Bangkalan"
Makam Agung Arosbaya,-6.9592467,112.8448112,"Desa Plakaran, Kecamatan Arosbaya Kab. Bangkalan Bangkalan"
Pantai Biru,-6.8863504944433,113.08062555778,Desa Telaga Biru Tanjung Bumi Kab. Bangkalan Bangkalan
Air Terjun Kokop Dhurjan,-7.0025507058969,113.05961752165,Kab. Bangkalan Bangkalan
Bukit Kapur Parseh,-7.0817932388431,112.75945376932,Kab. Bangkalan Bangkalan
Gunung Geger,-6.9910417,112.9124717,Kab. Bangkalan Bangkalan
Hutan Mangrove Labuhan,-6.8862585605408,112.99280574139,"Labuhan, Sepulu, Labuhan, Bangkalan, Kabupaten Bangkalan, Jawa Timur 69154 Bangkalan"
Pantai Biru,-6.8851246469143,113.07911643418,"Jl. Pelabuhan Telagabiru No.38, Tj. Bumi, Telaga Biru, Kec. Tj. Bumi, Kabupaten Bangkalan, Jawa Timur 69156 Bangkalan"
Pantai Meneron,-6.88921260834,112.943901062,"Desa Maneron, Kecamatan Sepulu, Kab. Bangkalan Bangkalan"
Pantai Rongkang,-7.17791899045,112.895998111,Kab. Bangkalan Bangkalan
Pantai Siring Kemuning,-6.88523734256,113.054686045,"Macajah, Kec. Tj. Bumi, Kabupaten Bangkalan Bangkalan"
Pantai Bumi Anyar,-6.892229741116,113.12432422625,"Desa Lobuk, Kec. Tanjung Bumi, Kabupaten Bangkalan Bangkalan"
Mercusuar,-7.0600273753702,112.67449513954,"Jalan Sembilangan, Socah, Slempit, Pernajuh, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69161 Bangkalan"
Goa Pelanglangan,-6.9465818945614,112.85970566137,"Plalangan, Buduran, Arosbaya, Makam Air Mata, Buduran, Kec. Arosbaya, Kabupaten Bangkalan, Jawa Timur 69151 Bangkalan"
Situs Benteng Erfprins,-7.0235598245296,112.75110113068,"Pejagan, Kec. Bangkalan, Kabupaten Bangkalan"
Taman Rekreasi Kota Bangkalan,-7.037328920536,112.73978724787,"Jl. Soekarno Hatta, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69116 Bangkalan"
Stadion Kerapan Sapi R.P Moh Noer,-7.0230719834368,112.76182494603,"Bajik, Bancaran, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69112 Bangkalan"
Kolla Langgundih,-7.0392299004079,112.70870988466,"Jl. Langgundih Ujung Piring, Lagundi, Ujung Piring, Kabupaten Bangkalan, Jawa Timur 69118 Bangkalan"
Makam Aer Mata Ebu,-6.9462951930168,112.8560111,"Desa Buduran, Arosbaya, Makam Air Mata, Buduran, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69151 Bangkalan"
Makam Sultan Abdul Kadirun,-7.0279787535541,112.74581921534,"Demangan Barat, Demangan, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69115 Bangkalan"
Makam Sunan Cendana,-7.1578937775942,112.85441537671,"Ketetang, Kec. Kwanyar, Kabupaten Bangkalan, Jawa Timur 69163 Bangkalan"
Makam Syechona Cholil,-7.0412431545309,112.72345214603,"Jl. Mertajasah, Tajasah, Mertajasah, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69119 Bangkalan"
Museum Bangkalan Cakraningrat,-7.0473324007048,112.73522183863,"Jl. Soekarno Hatta No.35, Wr 08, Mlajah, Kec. Bangkalan, Kabupaten Bangkalan, Jawa Timur 69116 Bangkalan"
Desa Wisata Tamansari,-8.168024041606,114.25218710055,"Dusun Jambu, Tamansari, Kec. Licin, Kabupaten Banyuwangi, Jawa Timur Banyuwangi"
Desa Wisata Kemiren,-8.2054684000693,114.32245839783,"Desa Kemiren, Kecamatan Glagah, Kabupaten Banyuwangi, Jawa Timur, Indonesia Banyuwangi"
Desa Bangsring,-8.0537442031953,114.43055034483,"Dusun Krajan 1 desa bangsring, kecamatan Wongsorejo, Kabupaten Banyuwangi Banyuwangi"
Desa Wisata Wringin Putih,-8.4736224779687,114.34006747415,Jalan KH Askandar KM 1 Desa Wringinputih Kecamatan Muncar Kabupaten Banyuwangi Provinsi Jawa Timur Banyuwangi
Pantai Rajegwesi,-8.5598760021233,113.93570065498,Kab. Banyuwangi Banyuwangi
Desa Wisata Kaliploso,-8.4462857219055,114.24921643179,"Desa Kaliploso, Kecamatan Cluring, Kabupaten Banyuwangi Banyuwangi"
Desa Wisata Sumbersari,-8.3781476579381,114.20771506972,"Desa Sumbersari, Kecamatan Srono Kab. Banyuwangi Banyuwangi"
